Embryo,Stage,mtX,mtY,mtZ
1,9.5,Radial_glia,NA,NA,NA
1,9.5,Intermediate_Mesoderm,NA,NA,NA
1,9.5,Early_mesenchyme,0.76334776,0.61804959,1.27455849
1,9.5,Early_mesenchyme,1.26423685,0.82729303,1.02527432
1,9.5,Early_mesenchyme,NA,NA,NA
1,9.5,Isthmic_organizer_cells,1.76799245,1.40478467,1.03222723
1,9.5,Isthmic_organizer_cells,1.71861057,1.59281222,1.39142636
1,9.5,Chondroctye_progenitors,1.11744388,0.81487639,1.11439632
1,9.5,Intermediate_Mesoderm,1.33236854,1.20474797,1.79226271
1,9.5,Epithelial_cells,1.08473670,1.02597742,0.99559765
1,9.5,Primitive_erythroid_lineage,2.60175327,1.44397328,1.65755610
1,9.5,Intermediate_Mesoderm,1.21565352,1.19570792,1.67736403
1,9.5,Radial_glia,NA,NA,NA
1,9.5,Radial_glia,1.79913099,1.62426269,0.67008387
1,9.5,Neural_Tube,NA,NA,NA
1,9.5,Notochord_cells,1.24132531,0.85492641,0.76181808
1,9.5,Early_mesenchyme,1.08956913,1.24112331,1.65896176
