embryoId,stage,cellType,mtX,mtY,mtZ
68,13.5,Connective_tissue_progenitors,1.23654734,1.52264579,1.41822529
68,13.5,Notochord_cells,1.30953938,1.31636082,0.62131328
68,13.5,Connective_tissue_progenitors,1.31246409,1.57958319,1.19142548
68,13.5,Postmitotic_premature_neurons,0.48853228,1.36000138,1.00124607
68,13.5,Jaw_and_tooth_progenitors,0.98842086,1.19334431,0.96893401
68,13.5,Schwann_cell_precursor,2.46891610,2.11311791,1.68420005
68,13.5,Epithelial_cells,1.18146183,1.41207259,0.86501616
68,13.5,Connective_tissue_progenitors,1.21112098,0.88952820,0.69407602
68,13.5,Definitive_erythroid_lineage,1.45347527,2.35249881,2.14636096
68,13.5,Sensory_neurons,1.37823581,1.54398036,1.04778857
68,13.5,Ependymal_cell,1.74814342,1.76410135,1.39465576
68,13.5,Sensory_neurons,0.07059225,1.32090743,1.04444356
68,13.5,Definitive_erythroid_lineage,1.17817640,2.25542569,1.78365396
68,13.5,Inhibitory_neurons,0.18392770,1.21803084,1.30746593
68,13.5,Inhibitory_neurons,0.12348440,1.15463911,1.29044271
68,13.5,Chondroctye_progenitors,1.14906451,0.73276363,0.62254524
68,13.5,Definitive_erythroid_lineage,1.32971015,1.70956067,1.82817885
68,13.5,Excitatory_neurons,0.34790661,1.30319123,1.21321801
68,13.5,Excitatory_neurons,0.40723852,1.19141770,0.08845651
68,13.5,Chondroctye_progenitors,1.17796250,0.81511397,0.59140834
68,13.5,Epithelial_cells,0.86072820,1.09979653,1.95323391
68,13.5,Sensory_neurons,1.21824290,1.68552513,1.29439226
68,13.5,Connective_tissue_progenitors,1.34412369,1.53207804,1.03025685
68,13.5,Myocytes,0.24400027,0.35233481,0.99299503
68,13.5,Excitatory_neurons,0.23082538,1.32489534,1.16772103
68,13.5,Endothelial_cells,1.21885654,1.25389343,1.26226523
68,13.5,Chondrocytes_&_osteoblasts,1.38248448,1.37204348,0.91013289
68,13.5,Stromal_cells,0.88750064,0.84317412,1.56843872
68,13.5,Definitive_erythroid_lineage,1.31214561,2.34255591,2.08050187
68,13.5,Chondroctye_progenitors,1.29236337,1.68239847,1.60293979
68,13.5,Epithelial_cells,1.11624156,1.22922116,0.69846449
68,13.5,Intermediate_Mesoderm,1.15476673,1.27478565,1.96125116
68,13.5,Excitatory_neurons,0.15657156,1.25396772,1.12487146
68,13.5,Intermediate_Mesoderm,1.24908029,1.22231631,1.97276140
68,13.5,Neural_progenitor_cells,1.09751388,1.06069083,0.94389471
68,13.5,Intermediate_Mesoderm,1.23251310,1.21876392,1.97251699
68,13.5,Radial_glia,1.89870113,0.62855397,0.73722290
68,13.5,Excitatory_neurons,0.41822258,1.28605969,0.95067438
68,13.5,Connective_tissue_progenitors,1.24379273,1.58264945,1.18102576
68,13.5,Excitatory_neurons,0.37086562,1.37601884,1.08521239
68,13.5,Connective_tissue_progenitors,1.27153095,1.63879372,1.32524954
68,13.5,Epithelial_cells,0.87260158,1.06187065,1.21041218
68,13.5,Connective_tissue_progenitors,1.38936471,1.00855358,0.88034810
68,13.5,Connective_tissue_progenitors,1.17634996,1.66861053,1.19289427
68,13.5,Connective_tissue_progenitors,1.09869116,1.51751977,1.77954245
68,13.5,Excitatory_neurons,0.43759898,1.37242713,1.02713819
68,13.5,Endothelial_cells,1.74901248,1.43794793,0.86040651
68,13.5,Connective_tissue_progenitors,0.87955553,1.31250447,1.04221794
68,13.5,Chondroctye_progenitors,1.16917795,0.78468019,0.55691685
68,13.5,Excitatory_neurons,0.52748778,1.60606572,0.11400017
68,13.5,Connective_tissue_progenitors,1.07666280,1.00031937,0.79470199
68,13.5,Connective_tissue_progenitors,1.21850573,1.60399579,1.21042692
68,13.5,Connective_tissue_progenitors,1.35734982,1.62080386,1.05851221
68,13.5,Inhibitory_interneurons,0.54614478,1.27895794,1.56334918
68,13.5,Hepatocytes,1.79088752,2.53328366,2.51483757
68,13.5,Definitive_erythroid_lineage,1.41637260,2.28836198,2.11555025
68,13.5,Inhibitory_neuron_progenitors,0.43842821,0.95197816,1.45892431
68,13.5,Excitatory_neurons,0.44960857,1.26871016,1.40677483
68,13.5,Inhibitory_interneurons,0.61193766,1.30054585,1.63515543
68,13.5,Excitatory_neurons,0.34731335,1.30955739,1.23611806
68,13.5,Jaw_and_tooth_progenitors,1.47696632,1.02111146,0.94539267
68,13.5,Connective_tissue_progenitors,1.20856632,1.68111036,1.23160960
68,13.5,Chondroctye_progenitors,1.16933358,0.78238129,0.54958330
