Embryo,Stage,mtX,mtY,mtZ
4,10.5,Early_mesenchyme,0.97665551,1.19539438,1.35495826
4,10.5,Notochord_cells,1.38653559,1.18725376,0.69663630
4,10.5,Radial_glia,NA,NA,NA
4,10.5,Chondroctye_progenitors,1.07119934,0.87475371,0.83686675
4,10.5,Intermediate_Mesoderm,1.29310985,1.48361602,1.93913687
4,10.5,Schwann_cell_precursor,2.35471774,2.89122616,2.50445052
4,10.5,Oligodendrocyte_Progenitors,1.60603846,1.37919268,1.45346453
4,10.5,Isthmic_organizer_cells,1.75780353,1.32109475,1.04618472
4,10.5,Intermediate_Mesoderm,1.26979451,1.42247509,1.87691386
4,10.5,Notochord_cells,1.47373739,1.34887213,1.05675351
4,10.5,Postmitotic_premature_neurons,NA,NA,NA
4,10.5,Isthmic_organizer_cells,1.54007861,1.72258778,1.30714636
4,10.5,Stromal_cells,1.21816095,0.89823871,1.17828435
4,10.5,Stromal_cells,1.02892042,0.88723794,1.12245545
4,10.5,Jaw_and_tooth_progenitors,1.39261948,0.92906209,0.97618522
4,10.5,Limb_mesenchyme,0.72945379,1.21459434,1.21588386
4,10.5,Radial_glia,1.90917059,0.73859950,0.54781465
4,10.5,Neural_Tube,NA,NA,NA
4,10.5,Oligodendrocyte_Progenitors,NA,NA,NA
4,10.5,Early_mesenchyme,1.43397684,1.05279889,1.24454230
4,10.5,Neural_Tube,1.54438718,0.79099958,0.61881529
4,10.5,Oligodendrocyte_Progenitors,NA,NA,NA
4,10.5,Schwann_cell_precursor,NA,NA,NA
4,10.5,Cardiac_muscle_lineages,0.78520523,0.96596784,1.61548513
4,10.5,Intermediate_Mesoderm,1.10466041,1.35824540,1.59715025
4,10.5,Neural_progenitor_cells,0.93089432,0.79419394,0.81141622
4,10.5,Isthmic_organizer_cells,1.71519260,1.07194369,0.77152962
4,10.5,Epithelial_cells,NA,NA,NA
4,10.5,Primitive_erythroid_lineage,NA,NA,NA
4,10.5,Chondrocytes_&_osteoblasts,1.08349544,1.19577711,1.28365824
4,10.5,Primitive_erythroid_lineage,2.44319282,1.48087641,1.74054077
4,10.5,NA,NA,NA,NA
4,10.5,Jaw_and_tooth_progenitors,1.03435934,0.85799029,1.01341303
4,10.5,Stromal_cells,1.02745895,0.84053306,1.18666696
4,10.5,Intermediate_Mesoderm,1.21401756,1.25686261,1.89701985
4,10.5,Oligodendrocyte_Progenitors,NA,NA,NA
4,10.5,Isthmic_organizer_cells,1.72523265,1.14538133,0.92685960
4,10.5,Postmitotic_premature_neurons,0.51085726,0.88691489,0.93044111
4,10.5,Primitive_erythroid_lineage,2.65795801,1.62641168,1.66248235
